num;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
676;3;56_3;25 à 34 ans;Femme;Maîtrise (études universitaires de 2e cycle);;Moins de 1 an;;;;;;;;6;6;7;6;6;7;6;6;5;5;6;4;6;6
678;3;58_3;45 à 54 ans;Femme;Aucun Diplôme;;Moins de 1 an;;;;;;;;7;7;6;5;5;6;6;6;6;6;6;5;6;6
682;3;62_3;55 ans et plus;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;6;7;7;7;6;7;6;6;7;7;6;6;7;6
684;3;64_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;5;6;7;5;6;6;6;5;6;7;7;6;6;6
686;3;66_3;35 à 44 ans;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;5;6;6;5;6;7;7;6;6;6;5;6;6
700;3;80_3;25 à 34 ans;Femme;Certificat (études universitaires de 1er cycle, 30 crédits);;1 à 5 ans;;;;;;;;6;7;6;6;6;6;6;6;6;7;7;6;7;6
710;3;90_3;25 à 34 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;7;6;6;3;7;6;7;7;7;7;6;3;7;6
716;3;96_3;25 à 34 ans;Homme;Certificat (études universitaires de 1er cycle, 30 crédits);;Moins de 1 an;;;;;;;;6;7;7;7;6;7;6;6;6;6;6;5;6;6
728;3;108_3;25 à 34 ans;Femme;D.E.C. (études collégiales);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;6;6;6;6;6;7;7;6;6;6;7;6;6
736;3;116_3;45 à 54 ans;Homme;Maîtrise (études universitaires de 2e cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;4;5;5;6;6;7;6;6;2;5;5;6;6
756;3;136_3;25 à 34 ans;Homme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;5;6;6;6;4;7;7;6;6;6;6;5;6;6
758;3;138_3;25 à 34 ans;Femme;Maîtrise (études universitaires de 2e cycle);;1 à 5 ans;;;;;;;;6;6;6;6;6;6;5;5;6;6;6;6;6;6
764;4;2_4;3;1;3;;;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;5;6;6
772;4;10_4;3;2;4;;;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;5;6;6
774;4;12_4;2;1;3;;;;;;;;;;6;6;6;6;6;5;6;6;6;6;6;4;6;6
778;4;16_4;3;1;3;;;;;;;;;;5;6;6;5;5;5;5;5;6;5;5;6;5;6
780;4;18_4;1;1;3;;;;;;;;;;5;6;6;5;6;6;6;6;6;5;5;5;6;6
788;4;26_4;2;2;4;;;;;;;;;;3;5;5;4;4;4;4;4;7;6;5;3;7;6
794;4;32_4;2;1;3;;;;;;;;;;6;5;6;5;7;6;6;5;5;5;7;5;5;6
798;4;36_4;3;;3;;;;;;;;;;6;5;5;5;4;5;5;5;5;5;5;4;5;6
806;4;44_4;3;1;2;;;;;;;;;;6;6;5;5;6;5;6;6;6;6;6;5;6;6
816;4;54_4;3;2;3;;;;;;;;;;5;6;6;6;6;7;6;6;7;6;6;5;6;6
826;4;64_4;2;1;4;;;;;;;;;;7;6;6;6;7;6;7;6;7;7;6;6;6;6
832;4;70_4;4;1;2;;;;;;;;;;6;5;6;5;5;5;5;5;6;6;5;6;6;6
834;4;72_4;3;1;4;;;;;;;;;;7;6;6;6;6;5;6;6;6;6;5;6;6;6
842;4;80_4;2;1;2;;;;;;;;;;5;6;6;4;6;7;6;5;6;6;6;4;6;6
844;4;82_4;2;1;3;;;;;;;;;;4;5;6;4;4;3;3;2;6;5;6;4;5;6
846;4;84_4;3;2;3;;;;;;;;;;6;6;7;5;5;5;5;6;6;6;6;4;6;6
850;4;88_4;1;1;4;;;;;;;;;;5;5;6;6;5;5;5;6;6;6;5;4;6;6
856;4;94_4;1;1;2;;;;;;;;;;7;6;5;4;4;5;6;6;5;4;5;4;5;6
872;4;110_4;3;1;4;;;;;;;;;;6;6;6;6;6;6;7;7;6;6;7;6;6;6
876;4;114_4;2;1;3;;;;;;;;;;6;6;6;6;6;6;5;5;7;7;6;5;5;6
890;5;3_5;22;1;2;;;;;;;;;;6;6;6;5;6;5;6;6;6;6;6;6;6;6
914;5;27_5;22;1;2;;;;;;;;;;5;5;5;5;6;7;7;5;6;6;6;6;6;6
920;5;33_5;26;1;4;;;;;;;;;;5;4;5;5;5;5;5;5;5;5;6;4;5;6
946;5;59_5;21;1;2;;;;;;;;;;6;5;7;6;6;6;6;6;6;6;6;5;6;6
950;5;63_5;22;1;2;;;;;;;;;;6;5;6;6;5;6;6;6;6;6;6;6;6;6
968;5;81_5;23;1;2;;;;;;;;;;5;6;6;6;5;5;6;6;6;6;6;6;6;6
988;6;12_6;;1;8;;;;;1;1;1;2;1;2;6;6;6;4;6;5;6;6;6;5;6;6;6
992;6;16_6;19;2;5;;;;;1;1;2;2;1;6;5;6;6;5;7;7;5;5;5;5;6;6;6
996;6;20_6;21;2;5;;;;;1;1;1;2;2;5;5;6;6;5;6;2;6;7;7;6;5;6;6
1000;6;24_6;22;2;9;;;;;1;1;2;;1;6;4;4;5;6;6;6;6;4;4;5;6;5;6
1008;6;32_6;22;2;6;;;;;1;1;2;2;1;7;6;6;6;6;7;7;7;6;6;6;6;6;6
1014;6;38_6;28;2;7;;;;;1;1;1;2;1;4;4;4;4;4;4;6;6;4;4;6;4;4;6
1018;6;42_6;19;2;5;;;;;1;1;1;1;2;6;5;5;5;6;6;6;6;6;6;6;6;6;6
1032;6;56_6;21;2;6;;;;;1;1;1;2;1;4;4;4;5;5;6;6;5;5;4;6;4;4;6
1066;6;90_6;27;1;8;;;;;1;1;2;2;1;6;6;6;6;6;6;3;5;5;5;5;4;5;6
1068;6;92_6;20;2;5;;;;;1;1;2;3;1;3;3;;4;5;6;5;4;5;4;6;4;6;6
1074;6;98_6;23;1;4;;;;;1;1;2;;1;7;5;5;6;5;6;4;5;7;7;6;4;6;6
1084;6;108_6;24;2;6;;;;;2;1;1;3;1;6;4;5;5;5;5;7;6;4;4;6;4;5;6
1090;6;114_6;20;2;6;;;;;1;1;1;2;1;5;5;5;5;5;6;6;6;6;5;6;4;5;6
1092;6;116_6;26;2;7;;;;;1;1;1;1;2;6;6;6;5;6;6;5;4;7;7;7;5;7;6
1102;6;126_6;20;2;5;;;;;1;1;1;2;1;6;5;5;5;5;6;5;5;5;6;6;5;6;6
1106;6;130_6;;1;6;;;;;1;1;1;2;1;5;6;6;6;4;7;4;5;6;5;5;4;6;6
1108;6;132_6;21;2;5;;;;;1;1;1;2;1;6;6;6;6;5;6;6;6;5;5;5;6;6;6
1112;6;136_6;21;2;6;;;;;1;1;1;2;1;6;6;7;6;5;6;4;6;4;6;6;4;5;6
1122;6;146_6;20;1;5;;;;;1;1;1;3;1;5;5;5;5;6;7;1;7;6;6;5;4;5;6
1126;6;150_6;22;2;7;;;;;1;1;1;1;2;7;7;7;7;5;7;7;7;7;7;7;6;7;6
1130;6;154_6;21;1;9;;;;;1;1;1;3;1;4;3;4;3;2;6;4;4;4;6;7;4;4;6
1132;6;156_6;28;2;7;;;;;1;1;1;1;2;6;6;6;6;6;5;5;6;6;5;6;6;6;6
